channel_id,view_count,like_count,comment_count
UC-k-5F2j4CUzuwkx1QLRlpA,459441,17049,4290
UC-r2l4o0_R3eRwOHthmGAcA,7776,177,114
UC-s__WrmBUAGRQqeZxcFxlQ,633786,21430,3199
UC0PJSqEcY5p3NtG9o9A4RWg,47097,1982,541
UC0cCZpU5Ioj1FOuIzj7cSsQ,67332,2776,796
UC0ft_Y8ijB7zGNxfz-VS88A,47754,2058,724
UC1-VOKyTJrgLiBeiJqzeIUQ,2885366,84570,8217
UC173FCaSv6VvqDxuoinDr3g,968496,45221,3816
UC1XrG1M_hw8103zO2x-oivg,1608258,31177,5065
UC1Y7onDsPyfP-lu--SXF-ew,54695,1875,371
UC1w6pNGiiLdZgyNpXUnA4Zw,375568,4681,2679
UC3rz4cx41jWj7shRBTetzkw,3915219,151017,23335
UC4EujwlrtuwSLV_iHO64o-w,5685,221,364
UC4Ua-1iyVQ35opukWiEX_1Q,189444,3439,450
UC4kNQJvlbqzrAClbI6Qx0yA,234711,3594,376
UC4t0KuLYBiXqXF27UtjLxPw,3376,315,236
UC4zcMHyrT_xyWlgy5WGpFFQ,1129988,18579,4541
UC52Vg-Q5oAgGzpl-srvTSwQ,18345,493,225
UC5bFzrX6CioylX4Yzr06noQ,124755,4924,2588
UC5i6nCpwmDVKo98sZD2AAcQ,668786,22914,6257
UC61qPMX7tIZGgHbKiG3Y7XA,30445,1076,571
UC6297CMnWqJUqhUlSZC3Gig,57902,4308,794
UC62IIFhchBWQxLPSyUatD-A,49853,778,145
UC6hv0QC9E5-bcUxc3rBGOOQ,299092,7067,1330
UC7FoJVkvzBr5Rp0YCB5tvuA,71571,10692,2013
UC7HQdvwPdK8YCkKz4hOHVtg,5748,1335,211
UC7gqKyCHYENWESm3mGcJO5A,2951888,95437,19247
UC7yTmxTaRki-3qVGF14Tchw,195631,5952,1578
UC81R4gy-4qqoV6l6OUpDeIg,15173,430,160
UC8iUkbpq4PsqwMIWN-A-p7A,138316,2713,594
UC8oOJ963nf9OLNMCrUvSQmw,172808,1500,148
UC8xqBQRIXKcnxU4yDu6X07A,1848929,47775,7460
UC96MGGyxaZZQ6aFKSVMHIew,697975,18178,3210
UC9bbdYLoAFJSd_5lk4lDhdQ,22591,2150,253
UCAKB9wGGRccBDrvbbbmgetw,97284,1153,602
UCAXLYcPBW3AJ52ZAhinOyFQ,1144035,23614,6152
UCAbWl7Gv6YD0_QKp-LUlF1g,157437,2297,860
UCAszOEwa5CS4WFwYpkjdaUQ,10390,257,171
UCBC2Y12etr9N0eaROmRXztQ,24563,374,120
UCBCT7EV5YrNLPvrhXYTHJuw,158461,9080,1795
UCBTJnSirNI8kwOn5ROB_BGA,110458,1334,413
UCBc0Mghy-6jhMXs3T7DluMg,3030912,106372,24799
UCBgGAiEQQjRNRaTNmHQ9SUw,1107128,46785,2426
UCBoIJhUfNcn8G_odWECKVIA,302287,18057,5074
UCDDj2GWklzZ09X7R9OtsX3Q,2782576,68857,10547
UCDJ45QyDA0gS3ZaX3p6skBQ,215647,6636,2581
UCDMd4FzBxxKD5yAeeLStU6A,606246,20577,5168
UCE2hJ9CYR57BYhk3TjGVG6w,1624793,72771,8069
UCE9682Zb5FaMPwnPK34MJ0Q,15364,512,152
UCEBlNJ6B9LV-CRrJXoKqFfA,176817,5676,986
UCEIpQSFT56hXhH2SEwuqX4Q,44780,912,119
UCEOwVSbkn8pY_jVwhU4pNkg,478057,17115,3372
UCEPZNMjVXBALuPZNKNua5Hg,230554,16814,3291
UCETmLeBpDeXIFyNbRV_Kblg,39662,780,256
UCFSJAfZTxBx9GsnItsu9vmg,20469,412,200
UCGZLruV9OMz7JnmXz86ELdg,213241,8950,2013
UCGoI004ZXiUb1NmY3zXBWTw,44665,1394,536
UCHeWtVw_wNCUZkzc5wif2FQ,619887,16562,6725
UCHrBjgyy51_c0s_CYh8iizg,42602,1638,347
UCI18QOhxJrLGpTfMla_jJSg,207607,2788,572
UCJ5A0Y2zkA-l2GP3fKJ52Og,43732,1225,756
UCJTQxEGVqCFsBuHUyxgaVqQ,968936,6661,1727
UCJUIsiPA0pSn2N4ZnTkGSRw,238711,6728,979
UCJV3-3aSn2Qa8BLaqSAzm3A,8504,458,300
UCJW1S6BOOHD1dyzA2V8rxnw,458963,11979,2985
UCJZhnAf6ICDRGv2eEKzXBGA,252254,2890,697
UCJrXOOtvmGn4CF7aYaJwuHA,9274596,114963,23788
UCK0nQCNCloToqNKhbJ1QGfA,26355,845,152
UCKC9gZw2CxA8y9sgBA58Wnw,29026,848,449
UCK_ukwRDuGJ1rusb5sDTf9w,5114,339,149
UCLINPbYQ9sy6qc-TqtBeVnw,15256044,262834,69863
UCLl58-a6yGI5V_jiYVWZm9g,103252,2503,944
UCM1jNA8DM90LE4ywxBe8RmA,2111789,75388,5722
UCMIgOXM2JEQ2Pv2d0_PVfcg,358917,2425,1866
UCMZbix9CwEuL6l9SJIb2Zxw,10246,435,288
UCMlirlzQIUpfb3uC5LXB17Q,379045,12429,2847
UCMowpguvNxqp1dFqH-B7bbg,45043,1721,451
UCN-mYiC1Tx3k0eB4IM06_-A,134803,4400,978
UCNpLPsSmanPaD83VtTgMb3g,121650,1568,212
UCNzTCruSgmp9oNtl1HE5dDQ,27941,1094,244
UCO1uLCdX--uLXXDdJXJfpJA,125349,975,624
UCOmyWleEFm8SZti-YW26t7w,23561,1088,329
UCOrM_L8GhXgQ4AsD-Xba6Ew,18988,760,306
UCP1ZmU7-oVi8dMhbCEbAD3Q,46436,3567,442
UCPFhnt7T8iaBLp1wIfFRzFw,436616,21357,682
UCQOnq7u47LRBgWXr1Xc-XWQ,29322,886,266
UCQqU3EE4X24t7Tw9McwG2bg,85699,1232,195
UCRDCsZvUg75Bibp9qYbHivw,42395,738,317
UCRXTKScMyhaaQ6pvy4WdICQ,16420,431,156
UCSZ92KCPQNzFMun4CkUV2_w,95073,1507,371
UCSwRhu8CeHVXZlG1ExdjuTQ,974263,24505,7723
UCT5nXIRHzhRxwCY-_LH1SQA,6144,208,226
UCTQYz0R69aMr8pS52UfVTZQ,242545,3934,1265
UCUKYv9dpFAbuLNWIgxuQQBA,2505345,30841,6294
UCUYT5ThWuRNWAbV0nul7EGQ,245847,2644,816
UCUcuCA0XD_dnZromsXOsMyg,122584,6589,2904
UCUj6Po50JJRDT3oyHAgO7Og,12436,336,144
UCVKe3-5kQRddaOHTdn-_Qbw,454430,11280,3041
UCVUBc0WF5X-w3T8s6Wyx-jw,1908176,75533,27360
UCVrVBoMZr6paFB4iIl5rSiQ,56689,1194,321
UCVxun8KIhpt4ebkA5QAHljA,2643266,14726,1825
UCWD73pplKKupr14ghf-8-QA,98118,1842,1253
UCWDzQTt1RWZD1AtkV76CIBA,420111,12732,2504
UCWU0WKigqlBZmBcrkcHQlog,26543,613,293
UCWzgOrFuh82znXetsW3pmAA,5571,516,151
UCX1oID0GF9NKfDvB4j0l2-Q,94710,823,215
UCXpvI8jeu166he5e_Emo2ig,254837,28226,4361
UCXzAdSkGFtjrbuucfC-t7gA,364922,17592,5754
UCY6-ahhvT6YHuhnq8CEgHVw,147573,1333,500
UC_dZp8bZipnjntBGLVHm6rw,123772,13178,1754
UC_uvNJNLvhep7xJ1XGVWDIg,242991,14077,1730
UC_vO01sSD25a73DhoaxtZTw,99156,6254,957
UCa52eJdI5AUi_JjFqlt1uvw,56319,1581,685
UCaAQEmRYczuVf4Ok8jz9Tsg,56653,1784,812
UCaCaZ-vKtnMG2_FKmEePChQ,2246689,120914,31663
UCaTyFx9Llt5nQRAFjZyowow,1338314,29170,5470
UCaWbn671XbI1GLTgndyI7gQ,191553,9552,1509
UCasePAQ_q7tbUGybICCj4NQ,686153,30846,7292
UCb0BvamKxxSvs1CtZThRuiA,73775,1943,494
UCbPq7xtjc_nnOQxoMTvKcqA,4436,349,127
UCbe4BpM5-Ta7MIlbKOofTDA,1863053,66191,13429
UCcftUjNsimynCrKGFolLRKQ,446931,7053,1525
UCch0rVLkV6JcjWCsVgj7zSQ,42214,1582,353
UCchH1esPCWvzigavq5JDwlQ,50186,2957,590
UCcnmNzv0yEEYPM6Oa86unhQ,2895151,115525,22631
UCcweJsCV2TUP_kzMX25U-oQ,5018695,97823,18544
UCd5Jpd5473VPhNjdWMUP6tw,2398825,104743,18915
UCdF4z_2Q02q81AK-Xq2_5Rg,165372,5422,2212
UCdPCrCxcLyL7DQGo3P6ZfUA,972922,59564,9229
UCdZ9F6bap1b7JQZ1pZiFJ_w,185497,2941,805
UCddkvrnYqGRfODPMUQqisiw,563968,20382,8375
UCe4imzlqB7w2LcgG3W_fpvg,49032,2424,820
UCeB83ZwoO2Hr8ZjW7-Vh6uQ,8042,459,145
UCeeHT-3WejdX6uGBgCbE7SA,503778,8862,531
UCeqKIgPQfNInOswGRWt48kQ,250495,2577,2189
UCev8ERhEE652NjUgGlPEOlQ,343424,8290,2567
UCf3enJ3vAEW57CMRV3sScBQ,261144,14001,2989
UCfZ1HI8Nlk9OMKkjc2XQh7g,168554,5177,1477
UCfcXVSmSaIluNJzDK4qofGw,15300,1349,252
UCfs-nDj_nyekl_M-3SkLNfA,3641,239,112
UCgcn_rHI1QgT-57q_sfzyDg,67749,1827,534
UCgmB8S3f8-9dR8alVUZuZxQ,13126818,563258,101150
UCgr6ujQaJITyWAXVrHjGGWQ,30948,800,125
UChjA0Vy8gClgOU9W1ttvt8w,759560,39854,4032
UChr1sKJ27Fr6WZxAlusbo_w,1690341,105962,5721
UCiZnK4X73okItJqaCs2YDOQ,33951050,1280122,238440
UCj089h5WsDdh1q8t54K3ZCw,48176,1360,738
UCjI-AAeydw_6l2YWK_5hMPg,27820,2711,1102
UCjST8i81ILulZZvnO1xtfhQ,157244,2438,740
UCjhkuC_Pi85wGjnB0I1ydxw,384353,6687,1016
UCjlQUYxw7yjLuq5wTcJE-yA,95654,2808,585
UCjuUo23G7j4gzl2sHGIjZCw,104962,2797,719
UCjy1V9wGVtlXS2BxWVrjtmQ,178066,2424,835
UCkAFFNmA-84zGIi-WTBZ4cg,234842,3095,665
UCkeQaTKHKmRnWmXnl0uIuSA,494168,31498,3419
UClLNojsTUBXWG6-drvyLzlw,40499,1648,331
UClWRgl85-pp0ks6u5vFP9HQ,181309,3338,1265
UCllHFziN2zWOQ2yvbejyH0A,727986,11864,3585
UClrnlVHuz924um08JxfWo8A,15508,522,263
UCm3JI-wnBrQ3TzK-sJKj7cg,21678,373,168
UCmLo7ab5A3vnzPyiZH3y7nw,815194,48855,3824
UCmrvp_fhHBTyQvGuEmYRdwg,29715,330,260
UCmzjlyTMvUVzfMXb73kektw,294111,6639,1724
UCn7wWR5KnpX_N6ZaBNuyVYw,753561,6179,4672
UCnEEC46gghhncsBjuxgxEvw,12948,424,260
UCoJ9ql-WffntQ5Pa8SdkllA,736939,28515,8681
UCoYFo3L74njkPCbj6LyiexA,477719,17163,1902
UCoda_2_svgWv4iUhqS1K3yA,144090,4464,1046
UCogPyel5zmcX7dRP88vY9lA,20670,396,125
UCpPbcfwq0wOpWrC0gBs73tQ,1690083,84913,7628
UCpTkQ0QEm6qPNY28F91Mubw,26959,982,129
UCqQGYPEU7DiNA6bUUmehb8g,551284,25716,8010
UCqtBzOjVW0aLVZHaRYu7dpQ,3513061,158779,28127
UCrPoTKfvNvJhG1Ngf6jHB1w,59453,598,148
UCrt6X6pXNRl5rRxaKbzCrvw,694291,28203,6018
UCrxS-EVq-F1pa1J0EAp_v8g,86353,1806,335
UCsFn3MVZBT1_GWFzgv4QF3A,118664,1847,646
UCsGd1uueHeXmEFHaDm1bNKA,6540,224,128
UCsLOtn32074H9Qxy7gjr2LQ,50998,2156,751
UCsNdsFTTBj5jcRJSWeJ8-Xg,2061045,122107,29257
UCsTI3IGlwEd0dfr36ClguRg,11896,713,431
UCsbhQ0l_oRy68zoPpbEYqww,233528,10561,1916
UCsj96MCtBs8u4vB6l0gVgTg,354675,12742,1648
UCsjVQggE8sgv1AskwIT5G7Q,70930,1110,187
UCszx-b-BA9VEqV4EEWXi-4w,93988,1423,314
UCtyPin2V0CzfzZXRl6BVNgQ,21040,496,246
UCuAoYLGCCtkXz0xKuM1MUTQ,381105,12983,2203
UCuHp0PPmcHotQyd_Tj3XC6Q,129437,2218,403
UCuPH6ouleIo8IhmZy65m4pA,852208,17411,5392
UCua87-Wr29nGhVLzZrN2e_g,202419,7561,2693
UCug-CMwBZiEx7asdsIRDHOQ,18266,428,127
UCutQkZpAs9xG0KaooZlnuTw,371509,8793,1508
UCvKSljIz5MuYz0J7GnpvPHQ,151306,695,140
UCvwE_EBBDWM552Vd9v8m9Gg,90424,595,221
UCwFUwxY9TUiVwr4vQ3zX_6w,187881,5907,848
UCwQmqAG_8YlgakD8Dj0DZ4w,273711,6257,1880
UCwjxya3zbM2yadFag9WlbYg,1858684,34968,5525
UCx6OkrMyBqujuyQlwVpYfNw,31323,728,190
UCxec_VgCE-5DUZ8MocKbEdg,90392,1486,1678
UCxmohYAjhc2qD5pYIOwQ3bA,814572,13752,3314
UCy4_zQ59zmS7zO4Dc6vbT_w,162454,1799,1549
UCy82YSU9FxoYhknZ4PFmjrQ,92696,1355,348
UCy9Y4en2y1eR1zwcmFkRMzg,4218683,52345,12462
UCyQpfuhftLvrmjxgEzVH78Q,15392,93,220
UCyw3E91jaNVEPqirEyhMRRw,42919,1247,948
UCzH549YlZhdhIqhtvz7XHmQ,1006081,58558,4809
UCzZ0tUcFR7APjPKdxmgkbJA,58353,2461,252
UCzyBlIm4NE2ch85fY3Y4cOA,1170023,13715,2464
